7	7
21	1
14	22
3	25
0	81
8	27
3	2
31	39
3	51
5	59
50	7
7	51
58	25
90	0
13	80
56	7
7	9
2	10
70	10
55	4
88	65
13	58
0	0
3	64
7	51
2	59
40	34
29	51
25	28
14	0
32	3
7	65
19	1
25	32
77	50
1	38
0	8
17	14
96	51
0	38
53	70
45	1
51	0
7	3
54	54
51	14
92	14
13	0
29	26
25	4
0	1
3	0
2	26
10	0
81	3
76	39
7	20
24	0
0	38
23	2
30	1
67	32
17	13
8	75
32	50
81	51
38	1
50	14
4	75
50	34
42	66
0	75
25	11
1	3
53	20
27	5
1	57
8	64
0	0
7	38
68	79
75	79
2	75
3	25
2	62
2	34
57	50
1	41
11	33
58	50
28	0
14	51
61	13
20	53
7	69
34	27
13	15
9	51
75	7
5	34
